운동명	부위	세트	횟수	휴식(초)	단계1	단계2	단계3	주의사항	이미지1	이미지2	이미지3
레그프레스	하체	3	12	60	등과 엉덩이를 등받이에 밀착시키고 발을 어깨너비로 올립니다.	발바닥 전체로 발판을 밀어 다리를 폅니다. 무릎은 완전히 잠그지 않습니다.	무릎을 천천히 굽혀 허리가 뜨지 않는 범위까지 돌아옵니다.	허리가 등받이에서 뜨거나 무릎이 안쪽으로 모이지 않게 주의	레그프레스_1.jpg	레그프레스_2.jpg	레그프레스_3.jpg
레그익스텐션	하체	3	12	60	등을 등받이에 붙이고 발목을 패드 뒤에 둡니다.	허벅지에 힘을 주어 무릎을 펴고 잠그지는 않습니다.	중량을 통제하며 무릎을 굽혀 시작 자세로 돌아옵니다.	반동으로 차 올리거나 무릎을 과도하게 잠그지 않기	레그익스텐션_1.jpg	레그익스텐션_2.jpg	레그익스텐션_3.jpg
시티드레그컬	하체	3	12	60	등을 등받이에 붙이고 발목을 패드 위에 둡니다.	발뒤꿈치를 아래·뒤쪽으로 당겨 무릎을 굽힙니다.	중량을 천천히 풀어 다리를 폅니다.	엉덩이가 들리거나 허리를 과도하게 젖히지 않기	시티드레그컬_1.jpg	시티드레그컬_2.jpg	시티드레그컬_3.jpg
랫풀다운	등	3	12	60	허벅지를 패드로 고정하고 바를 넓게 잡습니다.	팔꿈치를 아래로 당기며 바를 가슴 위쪽으로 내립니다.	팔을 천천히 펴며 바를 머리 위로 돌려보냅니다.	바를 목 뒤로 내리거나 몸을 과도하게 젖히지 않기	랫풀다운_1.jpg	랫풀다운_2.jpg	랫풀다운_3.jpg
체스트프레스	가슴	3	12	60	등을 등받이에 붙이고 손잡이를 가슴 중간 높이에서 잡습니다.	손잡이를 앞으로 밀되 팔꿈치를 세게 잠그지 않습니다.	손잡이를 천천히 가슴 높이로 되돌립니다.	어깨가 들리거나 허리가 등받이에서 뜨지 않게 주의	체스트프레스_1.jpg	체스트프레스_2.jpg	체스트프레스_3.jpg
펙덱	가슴	3	12	60	등을 등받이에 붙이고 팔을 패드에 올립니다.	가슴을 모아 양쪽 패드를 앞에서 맞춥니다.	팔을 천천히 벌려 시작 자세로 돌아옵니다.	어깨를 으쓱하거나 팔꿈치를 과도하게 뒤로 보내지 않기	펙덱_1.jpg	펙덱_2.jpg	펙덱_3.jpg
인클라인체스트프레스	가슴	3	12	60	등을 등받이에 붙이고 손잡이를 윗가슴 높이에서 잡습니다.	손잡이를 앞·위쪽으로 밀어 팔을 폅니다.	손잡이를 천천히 윗가슴 높이로 되돌립니다.	허리를 과도하게 꺾거나 팔꿈치를 완전히 잠그지 않기	인클라인체스트프레스_1.jpg	인클라인체스트프레스_2.jpg	인클라인체스트프레스_3.jpg
케이블크로스오버	가슴	3	12	60	한 발을 앞에 두고 양손을 넓게 잡아 팔꿈치를 살짝 굽힙니다.	양손을 아래쪽 가슴 앞에서 모읍니다.	가슴의 긴장을 유지하며 팔을 천천히 벌립니다.	허리를 흔들거나 팔꿈치를 고정한 채 과도하게 펴지 않기	케이블크로스오버_1.jpg	케이블크로스오버_2.jpg	케이블크로스오버_3.jpg
해머스트렝스체스트프레스	가슴	3	12	60	등을 등받이에 붙이고 손잡이를 가슴 옆에서 잡습니다.	양손 손잡이를 같은 속도로 앞으로 밉니다.	손잡이를 천천히 가슴 옆으로 되돌립니다.	한쪽 팔만 먼저 밀거나 어깨가 앞으로 말리지 않게 주의	해머스트렝스체스트프레스_1.jpg	해머스트렝스체스트프레스_2.jpg	해머스트렝스체스트프레스_3.jpg
케이블플라이	가슴	3	12	60	케이블 중앙에 서서 한 발을 앞에 두고 양팔을 벌립니다.	양손을 가슴 앞에서 크게 모읍니다.	팔꿈치를 부드럽게 유지하며 양팔을 천천히 엽니다.	중량 때문에 몸이 끌려가지 않도록 중심 유지	케이블플라이_1.jpg	케이블플라이_2.jpg	케이블플라이_3.jpg
시티드로우	등	3	12	60	무릎을 약간 굽히고 상체를 세워 손잡이를 잡습니다.	팔꿈치를 몸 가까이 붙여 손잡이를 아랫갈비뼈로 당깁니다.	등을 둥글게 말지 않고 팔을 천천히 폅니다.	상체를 뒤로 젖히며 반동으로 당기지 않기	시티드로우_1.jpg	시티드로우_2.jpg	시티드로우_3.jpg
어시스트풀업	등	3	12	60	보조 패드에 올라 평행 손잡이를 잡고 팔을 폅니다.	팔꿈치를 아래로 당겨 가슴을 손잡이 쪽으로 올립니다.	몸을 통제하며 팔을 펴고 내려옵니다.	어깨를 으쓱하거나 몸을 흔들어 올라가지 않기	어시스트풀업_1.jpg	어시스트풀업_2.jpg	어시스트풀업_3.jpg
머신로우	등	3	12	60	가슴을 패드에 붙이고 팔을 뻗어 손잡이를 잡습니다.	가슴을 패드에 붙인 채 손잡이를 갈비뼈 쪽으로 당깁니다.	팔을 천천히 앞으로 뻗습니다.	목을 앞으로 빼거나 허리를 꺾지 않기	머신로우_1.jpg	머신로우_2.jpg	머신로우_3.jpg
스트레이트암풀다운	등	3	12	60	케이블을 마주 보고 팔을 머리 위로 올려 바를 잡습니다.	팔을 거의 편 상태로 바를 허벅지까지 호를 그리며 내립니다.	광배근 긴장을 유지하며 바를 천천히 올립니다.	팔꿈치를 굽혀 삼두근 운동처럼 수행하지 않기	스트레이트암풀다운_1.jpg	스트레이트암풀다운_2.jpg	스트레이트암풀다운_3.jpg
케이블풀오버	등	3	12	60	케이블을 잡고 팔을 머리 위로 뻗어 엉덩이를 살짝 뒤로 뺍니다.	팔을 길게 유지하며 바를 허벅지 쪽으로 내립니다.	팔을 천천히 머리 위로 되돌립니다.	허리를 과도하게 젖히거나 팔꿈치를 많이 굽히지 않기	케이블풀오버_1.jpg	케이블풀오버_2.jpg	케이블풀오버_3.jpg
머신숄더프레스	어깨	3	12	60	등을 등받이에 붙이고 손잡이를 어깨 높이에서 잡습니다.	손잡이를 위로 밀어 팔을 폅니다.	손잡이를 천천히 어깨 높이로 내립니다.	허리를 꺾거나 손잡이를 머리 뒤로 내리지 않기	머신숄더프레스_1.jpg	머신숄더프레스_2.jpg	머신숄더프레스_3.jpg
머신레터럴레이즈	어깨	3	12	60	팔꿈치를 패드에 대고 상체를 세워 앉습니다.	팔꿈치를 바깥쪽으로 들어 어깨 높이까지 올립니다.	팔꿈치를 천천히 내려 시작 자세로 돌아옵니다.	어깨를 으쓱하거나 반동으로 들어 올리지 않기	머신레터럴레이즈_1.jpg	머신레터럴레이즈_2.jpg	머신레터럴레이즈_3.jpg
리어델트플라이	어깨	3	12	60	가슴을 패드에 붙이고 손잡이를 앞에서 잡습니다.	팔을 양옆으로 벌려 어깨선까지 엽니다.	손잡이를 천천히 앞쪽으로 되돌립니다.	허리를 들거나 팔을 과도하게 뒤로 보내지 않기	리어델트플라이_1.jpg	리어델트플라이_2.jpg	리어델트플라이_3.jpg
케이블페이스풀	어깨	3	12	60	케이블을 마주 보고 로프를 얼굴 높이에서 잡습니다.	팔꿈치를 높게 유지하며 로프를 얼굴 양옆으로 당깁니다.	팔을 천천히 앞으로 뻗습니다.	허리를 젖혀 당기거나 팔꿈치를 아래로 떨어뜨리지 않기	케이블페이스풀_1.jpg	케이블페이스풀_2.jpg	케이블페이스풀_3.jpg
케이블레터럴레이즈	어깨	3	12	60	케이블 옆에 서서 먼 손으로 손잡이를 잡습니다.	팔을 옆으로 들어 어깨 높이까지 올립니다.	팔을 천천히 몸 앞쪽으로 내립니다.	어깨 높이보다 높게 들거나 몸을 기울이지 않기	케이블레터럴레이즈_1.jpg	케이블레터럴레이즈_2.jpg	케이블레터럴레이즈_3.jpg
머신바이셉컬	팔	3	12	60	팔을 패드에 고정하고 손잡이를 잡습니다.	팔꿈치를 고정한 채 손잡이를 어깨 쪽으로 당깁니다.	팔을 천천히 펴 시작 자세로 돌아옵니다.	어깨를 들거나 팔꿈치를 패드에서 떼지 않기	머신바이셉컬_1.jpg	머신바이셉컬_2.jpg	머신바이셉컬_3.jpg
케이블바이셉컬	팔	3	12	60	케이블을 마주 보고 팔꿈치를 옆구리에 붙여 바를 잡습니다.	팔꿈치를 고정하고 바를 가슴 쪽으로 당깁니다.	팔을 천천히 내려 폅니다.	몸을 뒤로 젖히거나 손목을 꺾지 않기	케이블바이셉컬_1.jpg	케이블바이셉컬_2.jpg	케이블바이셉컬_3.jpg
케이블푸시다운	팔	3	12	60	케이블을 마주 보고 팔꿈치를 옆구리에 붙입니다.	바를 아래로 눌러 팔을 폅니다.	팔꿈치 위치를 유지하며 바를 천천히 올립니다.	팔꿈치가 앞뒤로 움직이거나 어깨로 누르지 않기	케이블푸시다운_1.jpg	케이블푸시다운_2.jpg	케이블푸시다운_3.jpg
